question_id,title,topic_primary,url_slug,source_url,base_unweighted_n,base_weighted_n,moe_question_level,is_multiselect,options_count
2024-006_a82_jackson,"To the best of your knowledge, what is the legal status of abortion in your state as of today?",Verasight Interdisciplinary Omnibus Survey #2024-006,to-the-best-of-your-knowledge-what-is-the-legal-status-of-abortion-in-your-state-as-of-today,https://reports.verasight.io/reports/verasight-interdisciplinary-omnibus-survey-2024-006#to-the-best-of-your-knowledge-what-is-the-legal-status-of-abortion-in-your-state-as-of-today,1000,1000.0000000000009,+/- 3.5%,false,6
2025-026_elections_1,How effective is this tactic likely to be in the 2026 midterms?,elections,how-effective-is-this-tactic-likely-to-be-in-the-2026-midterms-democratic-strategy,https://verasight-mpsa-2025.tiiny.co,1000,1000.0000000000009,+/- 3.5%,false,5
2025-026_elections_10,What do you think will happen to Donald Trump's approval ratings in the next year?,elections,what-do-you-think-will-happen-to-donald-trump-s-approval-ratings-in-the-next-year,https://verasight-mpsa-2025.tiiny.co,1000,1000.0000000000009,+/- 3.5%,false,3
2025-026_elections_11,"Think of the political party you most identify with. Now, indicate which of the following you think are under threat by certain leaders in your party",elections,think-of-the-political-party-you-most-identify-with-now-indicate-which-of-the-following-you-think-are-under-threat-by-certain-leaders-in-your-party,https://verasight-mpsa-2025.tiiny.co,1000,1000.0000000000009,+/- 3.5%,true,8
2025-026_elections_12,Which candidate would you be more likely to support for your party’s nomination:,elections,which-candidate-would-you-be-more-likely-to-support-for-your-party-s-nomination,https://verasight-mpsa-2025.tiiny.co,1000,1000.0000000000009,+/- 3.5%,false,2
2025-026_elections_13,"In the Israeli Palestinian Conflict, which side do you sympathize with more?",elections,in-the-israeli-palestinian-conflict-which-side-do-you-sympathize-with-more,https://verasight-mpsa-2025.tiiny.co,1000,1000.0000000000009,+/- 3.5%,false,5
2025-026_elections_14,"If so, why?",elections,if-so-why,https://verasight-mpsa-2025.tiiny.co,1000,1000.0000000000009,+/- 3.5%,false,4
2025-026_elections_15,How much would you support or oppose a war over Taiwan?,elections,how-much-would-you-support-or-oppose-a-war-over-taiwan,https://verasight-mpsa-2025.tiiny.co,1000,1000.0000000000009,+/- 3.5%,false,4
2025-026_elections_16,To what extent do you feel that the presence of immigrants conflicts with your personal interests?,elections,to-what-extent-do-you-feel-that-the-presence-of-immigrants-conflicts-with-your-personal-interests,https://verasight-mpsa-2025.tiiny.co,1000,1000.0000000000009,+/- 3.5%,false,5
2025-026_elections_17,How comfortable are you talking about politics with someone who you know disagrees with you?,elections,how-comfortable-are-you-talking-about-politics-with-someone-who-you-know-disagrees-with-you,https://verasight-mpsa-2025.tiiny.co,1000,1000.0000000000009,+/- 3.5%,false,5
2025-026_elections_18,Do you believe that human propensity for violence is:,elections,do-you-believe-that-human-propensity-for-violence-is,https://verasight-mpsa-2025.tiiny.co,1000,1000.0000000000009,+/- 3.5%,false,4
2025-026_elections_19,"If your financial situation changed so that you never had to worry about money again, would your political attitudes change?",elections,if-your-financial-situation-changed-so-that-you-never-had-to-worry-about-money-again-would-your-political-attitudes-change,https://verasight-mpsa-2025.tiiny.co,1000,1000.0000000000009,+/- 3.5%,false,4
2025-026_elections_2,How effective is this tactic likely to be in the 2026 midterms?,elections,how-effective-is-this-tactic-likely-to-be-in-the-2026-midterms-republican-strategy,https://verasight-mpsa-2025.tiiny.co,1000,1000.0000000000009,+/- 3.5%,false,5
2025-026_elections_20,"On a scale from 0 to 10, where 0 represents a preference for complete freedom to share any content on social media and 10 represents a preference for strict restrictions to prevent the spread of misinformation, where do you stand?",elections,on-a-scale-from-0-to-10-where-0-represents-a-preference-for-complete-freedom-to-share-any-content-on-social-media-and-10-represents-a-preference-for-strict-restrictions-to,https://verasight-mpsa-2025.tiiny.co,1000,1000.0000000000009,+/- 3.5%,false,11
2025-026_elections_21,"If a woman were to run in the next U.S. presidential election, would you consider voting for her?",elections,if-a-woman-were-to-run-in-the-next-u-s-presidential-election-would-you-consider-voting-for-her,https://verasight-mpsa-2025.tiiny.co,1000,1000.0000000000009,+/- 3.5%,false,4
2025-026_elections_22,"To what extent do you support or oppose efforts to eliminate Diversity, Equity, and Inclusion (DEI) programs in workplaces, educational institutions, and other public or private organizations?",elections,to-what-extent-do-you-support-or-oppose-efforts-to-eliminate-diversity-equity-and-inclusion-dei-programs-in-workplaces-educational-institutions-and-other-public-or-private,https://verasight-mpsa-2025.tiiny.co,1000,1000.0000000000009,+/- 3.5%,false,5
2025-026_elections_23,Do you agree with this opinion?,elections,do-you-agree-with-this-opinion,https://verasight-mpsa-2025.tiiny.co,1000,1000.0000000000009,+/- 3.5%,false,6
2025-026_elections_24,Do you have a legal right to refuse the officer's request to search your car?,elections,do-you-have-a-legal-right-to-refuse-the-officer-s-request-to-search-your-car,https://verasight-mpsa-2025.tiiny.co,1000,1000.0000000000009,+/- 3.5%,false,3
2025-026_elections_25,Which of the following economic and political factors will be impacted by these tariffs?,elections,which-of-the-following-economic-and-political-factors-will-be-impacted-by-these-tariffs,https://verasight-mpsa-2025.tiiny.co,1000,1000.0000000000009,+/- 3.5%,true,5
2025-026_elections_26,"Thinking back to the 2024 Presidential elections, in which way do you recall encountering the most political advertisements?",elections,thinking-back-to-the-2024-presidential-elections-in-which-way-do-you-recall-encountering-the-most-political-advertisements,https://verasight-mpsa-2025.tiiny.co,1000,1000.0000000000009,+/- 3.5%,true,7
2025-026_elections_27,Which country do you think is LEAST deserving of the Trump administration’s new tariffs?,elections,which-country-do-you-think-is-least-deserving-of-the-trump-administration-s-new-tariffs,https://verasight-mpsa-2025.tiiny.co,1000,1000.0000000000009,+/- 3.5%,false,7
2025-026_elections_28,What is the political party of your district’s member of the U.S. House of Representatives?,elections,what-is-the-political-party-of-your-district-s-member-of-the-u-s-house-of-representatives,https://verasight-mpsa-2025.tiiny.co,1000,1000.0000000000009,+/- 3.5%,false,4
2025-026_elections_29,Do you believe these voters should be allowed to vote in North Carolina elections?,elections,do-you-believe-these-voters-should-be-allowed-to-vote-in-north-carolina-elections,https://verasight-mpsa-2025.tiiny.co,1000,1000.0000000000009,+/- 3.5%,false,4
2025-026_elections_3,Do you approve or disapprove of electing district court judges?,elections,do-you-approve-or-disapprove-of-electing-district-court-judges,https://verasight-mpsa-2025.tiiny.co,1000,1000.0000000000009,+/- 3.5%,false,3
2025-026_elections_4,"Which, if any, of the following elected officials do you believe should bear responsibility for crime problems in your area?",elections,which-if-any-of-the-following-elected-officials-do-you-believe-should-bear-responsibility-for-crime-problems-in-your-area,https://verasight-mpsa-2025.tiiny.co,1000,1000.0000000000009,+/- 3.5%,true,7
2025-026_elections_5,Please indicate the extent to which you agree or disagree with the following statement: The best way to ensure world peace is through American military strength.,elections,please-indicate-the-extent-to-which-you-agree-or-disagree-with-the-following-statement-the-best-way-to-ensure-world-peace-is-through-american-military-strength,https://verasight-mpsa-2025.tiiny.co,1000,1000.0000000000009,+/- 3.5%,false,6
2025-026_elections_6,Please indicate the extent to which you agree or disagree with the following statement: Diplomacy and negotiations are the best way for America to ensure world peace.,elections,please-indicate-the-extent-to-which-you-agree-or-disagree-with-the-following-statement-diplomacy-and-negotiations-are-the-best-way-for-america-to-ensure-world-peace,https://verasight-mpsa-2025.tiiny.co,1000,1000.0000000000009,+/- 3.5%,false,6
2025-026_elections_7,"Thinking about the midterm elections in 2026, which party do you think will win control of the US Senate?",elections,thinking-about-the-midterm-elections-in-2026-which-party-do-you-think-will-win-control-of-the-us-senate,https://verasight-mpsa-2025.tiiny.co,1000,1000.0000000000009,+/- 3.5%,false,4
2025-026_elections_9,"Thinking about the midterm elections in 2026, which party do you think will win control of the US House of Representatives?",elections,thinking-about-the-midterm-elections-in-2026-which-party-do-you-think-will-win-control-of-the-us-house-of-representatives,https://verasight-mpsa-2025.tiiny.co,1000,1000.0000000000009,+/- 3.5%,false,4
2025-026_elections_ar,How concerned are you about foreign buyers purchasing homes in your community?,elections,how-concerned-are-you-about-foreign-buyers-purchasing-homes-in-your-community,https://verasight-mpsa-2025.tiiny.co,1000,1000.0000000000009,+/- 3.5%,false,5
2025-026_elections_rg,To what extent would you oppose or support an increase in property tax rates on residential properties in your area if the additional revenue was used to fund programs for struggling Americans?,elections,to-what-extent-would-you-oppose-or-support-an-increase-in-property-tax-rates-on-residential-properties-in-your-area-if-the-additional-revenue-was-used-to-fund-programs-for,https://verasight-mpsa-2025.tiiny.co,1000,1000.0000000000009,+/- 3.5%,false,7
2025-026_policy_10,"Compared to the past, do you think that more people believe conspiracy theories now, less people believe conspiracy theories now, or do you think the numbers are pretty similar?",policy,compared-to-the-past-do-you-think-that-more-people-believe-conspiracy-theories-now-less-people-believe-conspiracy-theories-now-or-do-you-think-the-numbers-are-pretty-similar,https://verasight-mpsa-2025.tiiny.co,1000,1000.0000000000009,+/- 3.5%,false,5
2025-026_policy_11,"How much do you agree or disagree with the following statement? ""We cannot fix the problems in our social institutions, we need to tear them down and start over.""",policy,how-much-do-you-agree-or-disagree-with-the-following-statement-we-cannot-fix-the-problems-in-our-social-institutions-we-need-to-tear-them-down-and-start-over,https://verasight-mpsa-2025.tiiny.co,1000,1000.0000000000009,+/- 3.5%,false,5
2025-026_policy_12,How likely is it that the people who really run the country are not known to the voters?,policy,how-likely-is-it-that-the-people-who-really-run-the-country-are-not-known-to-the-voters,https://verasight-mpsa-2025.tiiny.co,1000,1000.0000000000009,+/- 3.5%,false,5
2025-026_policy_13,"Please choose which of the following comes closer to your view, even if neither is exactly right…",policy,please-choose-which-of-the-following-comes-closer-to-your-view-even-if-neither-is-exactly-right,https://verasight-mpsa-2025.tiiny.co,1000,1000.0000000000009,+/- 3.5%,false,2
2025-026_policy_14,"That being said, to what extent do you think the US sanctions, by restricting the US technology, will succeed in stopping sanctioned entities from developing their own technology and alleviating the national security concerns?",policy,that-being-said-to-what-extent-do-you-think-the-us-sanctions-by-restricting-the-us-technology-will-succeed-in-stopping-sanctioned-entities-from-developing-their-own-technology,https://verasight-mpsa-2025.tiiny.co,1000,1000.0000000000009,+/- 3.5%,false,5
2025-026_policy_15,Which of the following social media platforms have you used in the past month?,policy,which-of-the-following-social-media-platforms-have-you-used-in-the-past-month,https://verasight-mpsa-2025.tiiny.co,1000,1000.0000000000009,+/- 3.5%,true,8
2025-026_policy_16,What level of government should be responsible for making most decisions about K-12 education?,policy,what-level-of-government-should-be-responsible-for-making-most-decisions-about-k-12-education,https://verasight-mpsa-2025.tiiny.co,1000,1000.0000000000009,+/- 3.5%,false,3
2025-026_policy_17,How would you rate the current level of government spending on facial recognition technology in your state?,policy,how-would-you-rate-the-current-level-of-government-spending-on-facial-recognition-technology-in-your-state,https://verasight-mpsa-2025.tiiny.co,1000,1000.0000000000009,+/- 3.5%,false,6
2025-026_policy_18,Please check all that apply,policy,please-check-all-that-apply,https://verasight-mpsa-2025.tiiny.co,1000,1000.0000000000009,+/- 3.5%,true,8
2025-026_policy_19,What kind of judicial selection method does your state employ for the highest court in the state?,policy,what-kind-of-judicial-selection-method-does-your-state-employ-for-the-highest-court-in-the-state,https://verasight-mpsa-2025.tiiny.co,1000,1000.0000000000009,+/- 3.5%,false,7
2025-026_policy_2,Have you or has someone you know ever had an abortion?,policy,have-you-or-has-someone-you-know-ever-had-an-abortion,https://verasight-mpsa-2025.tiiny.co,1000,1000.0000000000009,+/- 3.5%,false,3
2025-026_policy_20,Please tell us the extent to which you agree or disagree with the following statement: “There is a corrupt scientific establishment that puts profits and political objectives ahead of conducting rigorous scientific research.”,policy,please-tell-us-the-extent-to-which-you-agree-or-disagree-with-the-following-statement-there-is-a-corrupt-scientific-establishment-that-puts-profits-and-political-objectives-ahead,https://verasight-mpsa-2025.tiiny.co,1000,1000.0000000000009,+/- 3.5%,false,5
2025-026_policy_21,"Compared to other state and local government officials, how much information do you have about your chief local prosecutor?",policy,compared-to-other-state-and-local-government-officials-how-much-information-do-you-have-about-your-chief-local-prosecutor,https://verasight-mpsa-2025.tiiny.co,1000,1000.0000000000009,+/- 3.5%,false,5
2025-026_policy_22,"Do you agree or disagree with the following statement: ""Students in Reserve Officers’ Training Corps (ROTC) programs add to the variety of the viewpoints and values on American college campuses.""",policy,do-you-agree-or-disagree-with-the-following-statement-students-in-reserve-officers-training-corps-rotc-programs-add-to-the-variety-of-the-viewpoints-and-values-on-american,https://verasight-mpsa-2025.tiiny.co,1000,1000.0000000000009,+/- 3.5%,false,7
2025-026_policy_23,Please indicate the extent to which you agree or disagree with the following statement: In the current situation we cannot afford longer political debates and diversity of opinion.,policy,please-indicate-the-extent-to-which-you-agree-or-disagree-with-the-following-statement-in-the-current-situation-we-cannot-afford-longer-political-debates-and-diversity-of-opinion,https://verasight-mpsa-2025.tiiny.co,1000,1000.0000000000009,+/- 3.5%,false,4
2025-026_policy_24,What role do you think lobbyists play in our democracy and political process?,policy,what-role-do-you-think-lobbyists-play-in-our-democracy-and-political-process,https://verasight-mpsa-2025.tiiny.co,1000,1000.0000000000009,+/- 3.5%,false,5
2025-026_policy_25,"Please indicate how much you agree or disagree with the following statement: ""The 250th anniversary of the United States, occurring in 2026, should be a time to celebrate the nation’s achievements, not dwell on its flaws.""",policy,please-indicate-how-much-you-agree-or-disagree-with-the-following-statement-the-250th-anniversary-of-the-united-states-occurring-in-2026-should-be-a-time-to-celebrate-the-nation,https://verasight-mpsa-2025.tiiny.co,1000,1000.0000000000009,+/- 3.5%,false,6
2025-026_policy_26,"To what extent do you agree or disagree with the following statement?: ""The spread of fake news is a big problem among adolescents, who don’t generally have the tools to handle them.""",policy,to-what-extent-do-you-agree-or-disagree-with-the-following-statement-the-spread-of-fake-news-is-a-big-problem-among-adolescents-who-don-t-generally-have-the-tools-to-handle-them,https://verasight-mpsa-2025.tiiny.co,1000,1000.0000000000009,+/- 3.5%,false,5
2025-026_policy_27,What level of foreign political knowledge do you currently possess?,policy,what-level-of-foreign-political-knowledge-do-you-currently-possess,https://verasight-mpsa-2025.tiiny.co,1000,1000.0000000000009,+/- 3.5%,false,7
2025-026_policy_28,Mammograms).,policy,mammograms,https://verasight-mpsa-2025.tiiny.co,1000,1000.0000000000009,+/- 3.5%,false,7
2025-026_policy_29,"How much do you agree or disagree with the following statement? Even if a majority of people disagree with its decisions, people should still comply with decisions by the U.S. Supreme Court.",policy,how-much-do-you-agree-or-disagree-with-the-following-statement-even-if-a-majority-of-people-disagree-with-its-decisions-people-should-still-comply-with-decisions-by-the-u-s,https://verasight-mpsa-2025.tiiny.co,1000,1000.0000000000009,+/- 3.5%,false,7
2025-026_policy_3,How much of the time do you think you can trust artificial intelligence (AI) to provide correct information?,policy,how-much-of-the-time-do-you-think-you-can-trust-artificial-intelligence-ai-to-provide-correct-information,https://verasight-mpsa-2025.tiiny.co,1000,1000.0000000000009,+/- 3.5%,false,5
2025-026_policy_30,"To the best of your knowledge, is it currently legal for the government to punish people for hate speech?",policy,to-the-best-of-your-knowledge-is-it-currently-legal-for-the-government-to-punish-people-for-hate-speech,https://verasight-mpsa-2025.tiiny.co,1000,1000.0000000000009,+/- 3.5%,false,3
2025-026_policy_31,"Please indicate the extent to which you agree or disagree with the following statement: In our national interest, a dictatorship would be the better form of government in the current situation.",policy,please-indicate-the-extent-to-which-you-agree-or-disagree-with-the-following-statement-in-our-national-interest-a-dictatorship-would-be-the-better-form-of-government-in-the,https://verasight-mpsa-2025.tiiny.co,1000,1000.0000000000009,+/- 3.5%,false,4
2025-026_policy_32,"If you had a say in making up the Federal budget this year, please indicate whether you would like to see more or less government spending in child care policies.",policy,if-you-had-a-say-in-making-up-the-federal-budget-this-year-please-indicate-whether-you-would-like-to-see-more-or-less-government-spending-in-child-care-policies,https://verasight-mpsa-2025.tiiny.co,1000,1000.0000000000009,+/- 3.5%,false,5
2025-026_policy_33,To what extent do you believe that the tendency of people to avoid interacting with those from different social groups affects the unity of the United States?,policy,to-what-extent-do-you-believe-that-the-tendency-of-people-to-avoid-interacting-with-those-from-different-social-groups-affects-the-unity-of-the-united-states,https://verasight-mpsa-2025.tiiny.co,1000,1000.0000000000009,+/- 3.5%,false,4
2025-026_policy_4,Which of the following Artificial Intelligence (AI) chatbots do you use?,policy,which-of-the-following-artificial-intelligence-ai-chatbots-do-you-use,https://verasight-mpsa-2025.tiiny.co,1000,1000.0000000000009,+/- 3.5%,true,7
2025-026_policy_5,Do you use artificial intelligence (AI) to get information about any of the following,policy,do-you-use-artificial-intelligence-ai-to-get-information-about-any-of-the-following,https://verasight-mpsa-2025.tiiny.co,1000,1000.0000000000009,+/- 3.5%,true,7
2025-026_policy_6,"How often do you consume ethnic media (e.g., newspapers, television, radio, or online content produced by and for your specific ethnic or language community) for news or political information?",policy,how-often-do-you-consume-ethnic-media-e-g-newspapers-television-radio-or-online-content-produced-by-and-for-your-specific-ethnic-or-language-community-for-news-or-political,https://verasight-mpsa-2025.tiiny.co,1000,1000.0000000000009,+/- 3.5%,false,5
2025-026_policy_7,"about voting, candidates, or ballot measures) in a language other than English?",policy,about-voting-candidates-or-ballot-measures-in-a-language-other-than-english,https://verasight-mpsa-2025.tiiny.co,1000,1000.0000000000009,+/- 3.5%,true,4
2025-026_policy_8,Which of the following statements best describes your views of multi-level marketing?,policy,which-of-the-following-statements-best-describes-your-views-of-multi-level-marketing,https://verasight-mpsa-2025.tiiny.co,1000,1000.0000000000009,+/- 3.5%,false,5
2025-026_policy_9,Please indicate how strongly you agree or disagree with the following statement: “Health products sold through MLMs (such as supplements or weight loss aids) are accurately described and often deliver the health benefits they claim.”,policy,please-indicate-how-strongly-you-agree-or-disagree-with-the-following-statement-health-products-sold-through-mlms-such-as-supplements-or-weight-loss-aids-are-accurately-described,https://verasight-mpsa-2025.tiiny.co,1000,1000.0000000000009,+/- 3.5%,false,5
2025-026_society_1,"In your estimation, what is the typical age of a Legislative Assistant in the U.S. House of Representatives?",society,in-your-estimation-what-is-the-typical-age-of-a-legislative-assistant-in-the-u-s-house-of-representatives,https://verasight-mpsa-2025.tiiny.co,1000,999.9999999999991,+/- 3.5%,false,7
2025-026_society_10,How much do you agree or disagree with the following statement: Democrats and Republicans not getting along is the biggest problem in American politics today.,society,how-much-do-you-agree-or-disagree-with-the-following-statement-democrats-and-republicans-not-getting-along-is-the-biggest-problem-in-american-politics-today,https://verasight-mpsa-2025.tiiny.co,1000,999.9999999999991,+/- 3.5%,false,7
2025-026_society_12,"Do you think generative AI can replace the work of artists (illustrators, writers, singers, voice actors…)?",society,do-you-think-generative-ai-can-replace-the-work-of-artists-illustrators-writers-singers-voice-actors,https://verasight-mpsa-2025.tiiny.co,1000,999.9999999999991,+/- 3.5%,false,5
2025-026_society_13,How much would you transfer to a second player from California?,society,how-much-would-you-transfer-to-a-second-player-from-california,https://verasight-mpsa-2025.tiiny.co,1000,999.9999999999991,+/- 3.5%,false,7
2025-026_society_15,"How do you feel about philanthropy, specifically charitable giving from wealthy individuals and foundations?",society,how-do-you-feel-about-philanthropy-specifically-charitable-giving-from-wealthy-individuals-and-foundations,https://verasight-mpsa-2025.tiiny.co,1000,999.9999999999991,+/- 3.5%,false,3
2025-026_society_16,"On a scale from 1 to 5 (1 lowest to 5 highest), to what extend do you feel comfortable with generative artificial intelligence (AI) using synthetic “people” to be part of a survey group?",society,on-a-scale-from-1-to-5-1-lowest-to-5-highest-to-what-extend-do-you-feel-comfortable-with-generative-artificial-intelligence-ai-using-synthetic-people-to-be-part-of-a-survey-group,https://verasight-mpsa-2025.tiiny.co,1000,999.9999999999991,+/- 3.5%,false,5
2025-026_society_17,Do you support replacing federal employees with Artificial Intelligence systems?,society,do-you-support-replacing-federal-employees-with-artificial-intelligence-systems,https://verasight-mpsa-2025.tiiny.co,1000,999.9999999999991,+/- 3.5%,true,6
2025-026_society_18,"In the past year, have you experienced damage to your home or property due to a natural disaster, such as a wildfire, flood, or hurricane?",society,in-the-past-year-have-you-experienced-damage-to-your-home-or-property-due-to-a-natural-disaster-such-as-a-wildfire-flood-or-hurricane,https://verasight-mpsa-2025.tiiny.co,1000,999.9999999999991,+/- 3.5%,false,2
2025-026_society_19,Please indicate the extent to which you agree or disagree with the following statement: I consider myself a Christian nationalist.,society,please-indicate-the-extent-to-which-you-agree-or-disagree-with-the-following-statement-i-consider-myself-a-christian-nationalist,https://verasight-mpsa-2025.tiiny.co,1000,999.9999999999991,+/- 3.5%,false,5
2025-026_society_2,"In your estimation, what is the typical age of a Communications Director in the House of Representatives?",society,in-your-estimation-what-is-the-typical-age-of-a-communications-director-in-the-house-of-representatives,https://verasight-mpsa-2025.tiiny.co,1000,999.9999999999991,+/- 3.5%,false,7
2025-026_society_20,Do you agree or disagree with the following statement? “People who view the world the way I do are treated as outsiders in this country.”,society,do-you-agree-or-disagree-with-the-following-statement-people-who-view-the-world-the-way-i-do-are-treated-as-outsiders-in-this-country,https://verasight-mpsa-2025.tiiny.co,1000,999.9999999999991,+/- 3.5%,false,7
2025-026_society_21,"Over the past month, how consistent was your sleep schedule (going to bed and waking up at approximately the same time each day)?",society,over-the-past-month-how-consistent-was-your-sleep-schedule-going-to-bed-and-waking-up-at-approximately-the-same-time-each-day,https://verasight-mpsa-2025.tiiny.co,1000,999.9999999999991,+/- 3.5%,false,6
2025-026_society_22,"Do you approve or disapprove of foreign policies that restrict China’s access to critical technologies, such as AI?",society,do-you-approve-or-disapprove-of-foreign-policies-that-restrict-china-s-access-to-critical-technologies-such-as-ai,https://verasight-mpsa-2025.tiiny.co,1000,999.9999999999991,+/- 3.5%,false,5
2025-026_society_23,What factors are the primary motivators of decision making in international politics?,society,what-factors-are-the-primary-motivators-of-decision-making-in-international-politics,https://verasight-mpsa-2025.tiiny.co,1000,999.9999999999991,+/- 3.5%,true,4
2025-026_society_24,To what extent do you feel like the term “far right” describes your politics?,society,to-what-extent-do-you-feel-like-the-term-far-right-describes-your-politics,https://verasight-mpsa-2025.tiiny.co,1000,999.9999999999991,+/- 3.5%,false,5
2025-026_society_25,To what extent do you consider yourself a left or a right-wing? 0 is the most left and 3 is the most right.,society,to-what-extent-do-you-consider-yourself-a-left-or-a-right-wing-0-is-the-most-left-and-3-is-the-most-right,https://verasight-mpsa-2025.tiiny.co,1000,999.9999999999991,+/- 3.5%,false,4
2025-026_society_26,To what extent do you believe that the tendency of people to avoid interacting with those from different social groups affects the political unity of the United States?,society,to-what-extent-do-you-believe-that-the-tendency-of-people-to-avoid-interacting-with-those-from-different-social-groups-affects-the-political-unity-of-the-united-states,https://verasight-mpsa-2025.tiiny.co,1000,999.9999999999991,+/- 3.5%,false,4
2025-026_society_27,Would this mean that prices have decreased from last month?,society,would-this-mean-that-prices-have-decreased-from-last-month,https://verasight-mpsa-2025.tiiny.co,1000,999.9999999999991,+/- 3.5%,false,2
2025-026_society_28,"In response to the impact of climate change (e.g., flooding, extreme heat, storms), which of the following actions has your household considered or taken?",society,in-response-to-the-impact-of-climate-change-e-g-flooding-extreme-heat-storms-which-of-the-following-actions-has-your-household-considered-or-taken,https://verasight-mpsa-2025.tiiny.co,1000,999.9999999999991,+/- 3.5%,true,7
2025-026_society_29,"Do you agree or disagree with the following statement?: ""City governments across the country should provide supports to help immigrants integrate into American civic and economic life.""",society,do-you-agree-or-disagree-with-the-following-statement-city-governments-across-the-country-should-provide-supports-to-help-immigrants-integrate-into-american-civic-and-economic-life,https://verasight-mpsa-2025.tiiny.co,1000,999.9999999999991,+/- 3.5%,false,5
2025-026_society_3,"In your estimation, what is the typical annual salary of a Legislative Assistant in the U.S. House of Representatives?",society,in-your-estimation-what-is-the-typical-annual-salary-of-a-legislative-assistant-in-the-u-s-house-of-representatives,https://verasight-mpsa-2025.tiiny.co,1000,999.9999999999991,+/- 3.5%,false,7
2025-026_society_30,"To the best of your knowledge, undocumented (illegal) immigrants are caught and put in jail/prison for committing crimes...",society,to-the-best-of-your-knowledge-undocumented-illegal-immigrants-are-caught-and-put-in-jail-prison-for-committing-crimes,https://verasight-mpsa-2025.tiiny.co,1000,999.9999999999991,+/- 3.5%,false,5
2025-026_society_31,"Which of the following sources do you use to get news about your local government (county commission, city council, etc.)?",society,which-of-the-following-sources-do-you-use-to-get-news-about-your-local-government-county-commission-city-council-etc,https://verasight-mpsa-2025.tiiny.co,1000,999.9999999999991,+/- 3.5%,true,7
2025-026_society_32,Please select the statement that comes closest to your view.,society,please-select-the-statement-that-comes-closest-to-your-view,https://verasight-mpsa-2025.tiiny.co,1000,999.9999999999991,+/- 3.5%,false,4
2025-026_society_33,What animal do you like more?,society,what-animal-do-you-like-more,https://verasight-mpsa-2025.tiiny.co,1000,999.9999999999991,+/- 3.5%,false,2
2025-026_society_34,Do you think American presidents employ supernatural powers to get electoral acceptability among voters?,society,do-you-think-american-presidents-employ-supernatural-powers-to-get-electoral-acceptability-among-voters,https://verasight-mpsa-2025.tiiny.co,1000,999.9999999999991,+/- 3.5%,true,4
2025-026_society_4,"In your estimation, what is the typical annual salary of a Communications Director in the U.S. House of Representatives?",society,in-your-estimation-what-is-the-typical-annual-salary-of-a-communications-director-in-the-u-s-house-of-representatives,https://verasight-mpsa-2025.tiiny.co,1000,999.9999999999991,+/- 3.5%,false,7
2025-026_society_6,Why are you considering moving abroad?,society,why-are-you-considering-moving-abroad,https://verasight-mpsa-2025.tiiny.co,1000,999.9999999999991,+/- 3.5%,true,7
2025-026_society_7,Do you have close friends or relatives living outside the US?,society,do-you-have-close-friends-or-relatives-living-outside-the-us,https://verasight-mpsa-2025.tiiny.co,1000,999.9999999999991,+/- 3.5%,false,4
2025-026_society_8,"On a scale from 1 to 7, 1 meaning “strongly oppose” and 7 meaning “strongly support”: How do you feel about K-12 public school curriculum emphasizing climate change in science classes?",society,on-a-scale-from-1-to-7-1-meaning-strongly-oppose-and-7-meaning-strongly-support-how-do-you-feel-about-k-12-public-school-curriculum-emphasizing-climate-change-in-science-classes,https://verasight-mpsa-2025.tiiny.co,1000,999.9999999999991,+/- 3.5%,false,7
2025-026_society_9,"Do you think the percentage of American adults that visited at least one such website in the weeks around the 2024 U.S. Presidential Election was more, less, or the same?",society,do-you-think-the-percentage-of-american-adults-that-visited-at-least-one-such-website-in-the-weeks-around-the-2024-u-s-presidential-election-was-more-less-or-the-same,https://verasight-mpsa-2025.tiiny.co,1000,999.9999999999991,+/- 3.5%,false,3
2025-119_q46,Have you considered moving out of the United States in the next two years?,Verasight APSA Omnibus Survey #2025-119,have-you-considered-moving-out-of-the-united-states-in-the-next-two-years,https://reports.verasight.io/reports/apsa-2025#have-you-considered-moving-out-of-the-united-states-in-the-next-two-years,1000,999.9999999999991,+/- 3.5%,false,5
2025-119_q7,How optimistic do you feel about the US economy in the next year?,Verasight APSA Omnibus Survey #2025-119,how-optimistic-do-you-feel-about-the-us-economy-in-the-next-year,https://reports.verasight.io/reports/apsa-2025#how-optimistic-do-you-feel-about-the-us-economy-in-the-next-year,1000,1000.0000000000009,+/- 3.5%,false,5
2025-119_q75,Which of the following best describes your current housing situation and history?,Verasight APSA Omnibus Survey #2025-119,which-of-the-following-best-describes-your-current-housing-situation-and-history,https://reports.verasight.io/reports/apsa-2025#which-of-the-following-best-describes-your-current-housing-situation-and-history,1000,1000.0000000000009,+/- 3.5%,false,5
